_id,SourceID,name,unit,value,name,unit,value,name,unit,value,updateDateTime,latitude,longitude
576aa7331f9b1d04060a3b3a,EnvironmentalSensor_S2,NO2,ppm,0.956,PM10,ug/m3,2041.28125,PM2.5,ug/m3,1998.800781,"Jun 22, 2016 4:56:51 PM",64.7513,20.95505
577115331f9b1d04060a3b68,EnvironmentalSensor_S2,NO2,ppm,0.1081,PM10,ug/m3,2.1972656,PM2.5,ug/m3,2.1972656,"Jun 27, 2016 1:59:47 PM",64.7513,20.95505
577115981f9b1d04060a3b6a,EnvironmentalSensor_S2,NO2,ppm,0.2837,PM10,ug/m3,2.359375,PM2.5,ug/m3,2.3349608,"Jun 27, 2016 2:01:28 PM",64.7513,20.95505
577122cd1f9b1d04060a3b70,EnvironmentalSensor_S2,NO2,ppm,0.0844,PM10,ug/m3,6.4873046,PM2.5,ug/m3,1.0439452,"Jun 27, 2016 2:57:49 PM",64.7513,20.95505
577124331f9b1d04060a3b72,EnvironmentalSensor_S2,NO2,ppm,0.1385,PM10,ug/m3,1.2802733,PM2.5,ug/m3,1.2802733,"Jun 27, 2016 3:03:47 PM",64.7513,20.95505
577125991f9b1d04060a3b76,EnvironmentalSensor_S2,NO2,ppm,0.125,PM10,ug/m3,0.4248046,PM2.5,ug/m3,0.4248046,"Jun 27, 2016 3:09:45 PM",64.7513,20.95505
577126f71f9b1d04060a3b78,EnvironmentalSensor_S2,NO2,ppm,0.125,PM10,ug/m3,0.4394531,PM2.5,ug/m3,0.4335937,"Jun 27, 2016 3:15:35 PM",64.7513,20.95505
577148db1f9b1d04060a3b7a,EnvironmentalSensor_S2,NO2,ppm,0.027,PM10,ug/m3,0.5429687,PM2.5,ug/m3,0.5429687,"Jun 27, 2016 5:40:11 PM",64.7513,20.95505
57714a461f9b1d04060a3b7c,EnvironmentalSensor_S2,NO2,ppm,0.1655,PM10,ug/m3,0.6767577,PM2.5,ug/m3,0.6572265,"Jun 27, 2016 5:46:14 PM",64.7513,20.95505
57714ba51f9b1d04060a3b7e,EnvironmentalSensor_S2,NO2,ppm,0.1013,PM10,ug/m3,1.2617187,PM2.5,ug/m3,1.2617187,"Jun 27, 2016 5:52:05 PM",64.7513,20.95505
57714d0e1f9b1d04060a3b80,EnvironmentalSensor_S2,NO2,ppm,0.1385,PM10,ug/m3,0.5996093,PM2.5,ug/m3,0.5996093,"Jun 27, 2016 5:58:06 PM",64.7513,20.95505
57714e761f9b1d04060a3b82,EnvironmentalSensor_S2,NO2,ppm,0.3547,PM10,ug/m3,0.4013671,PM2.5,ug/m3,0.4013671,"Jun 27, 2016 6:04:06 PM",64.7513,20.95505
57714fd91f9b1d04060a3b84,EnvironmentalSensor_S2,NO2,ppm,0.0371,PM10,ug/m3,0.8144531,PM2.5,ug/m3,0.796875,"Jun 27, 2016 6:10:01 PM",64.7513,20.95505
577151371f9b1d04060a3b86,EnvironmentalSensor_S2,NO2,ppm,0.1554,PM10,ug/m3,0.9169921,PM2.5,ug/m3,0.8339843,"Jun 27, 2016 6:15:51 PM",64.7513,20.95505
577152a11f9b1d04060a3b88,EnvironmentalSensor_S2,NO2,ppm,0.0067,PM10,ug/m3,0.9628906,PM2.5,ug/m3,0.5605468,"Jun 27, 2016 6:21:53 PM",64.7513,20.95505
577154141f9b1d04060a3b8a,EnvironmentalSensor_S2,NO2,ppm,0.0945,PM10,ug/m3,0.9833983,PM2.5,ug/m3,0.9482421,"Jun 27, 2016 6:28:04 PM",64.7513,20.95505
577155791f9b1d04060a3b8c,EnvironmentalSensor_S2,NO2,ppm,0.1148,PM10,ug/m3,0.7128906,PM2.5,ug/m3,0.7099608,"Jun 27, 2016 6:34:01 PM",64.7513,20.95505
577156d81f9b1d04060a3b8e,EnvironmentalSensor_S2,NO2,ppm,0.0608,PM10,ug/m3,1.078125,PM2.5,ug/m3,1.0703125,"Jun 27, 2016 6:39:52 PM",64.7513,20.95505
577158371f9b1d04060a3b90,EnvironmentalSensor_S2,NO2,ppm,0.0574,PM10,ug/m3,0.2666015,PM2.5,ug/m3,0.2666015,"Jun 27, 2016 6:45:43 PM",64.7513,20.95505
577159961f9b1d04060a3b92,EnvironmentalSensor_S2,NO2,ppm,0.081,PM10,ug/m3,1.7167968,PM2.5,ug/m3,1.6884765,"Jun 27, 2016 6:51:34 PM",64.7513,20.95505
57715afb1f9b1d04060a3b94,EnvironmentalSensor_S2,NO2,ppm,0.0945,PM10,ug/m3,4.1162108,PM2.5,ug/m3,4.0703125,"Jun 27, 2016 6:57:31 PM",64.7513,20.95505
57715c621f9b1d04060a3b96,EnvironmentalSensor_S2,NO2,ppm,0.0337,PM10,ug/m3,4.7949218,PM2.5,ug/m3,4.6767577,"Jun 27, 2016 7:03:30 PM",64.7513,20.95505
57715dc21f9b1d04060a3b98,EnvironmentalSensor_S2,NO2,ppm,0.0304,PM10,ug/m3,3.5361327,PM2.5,ug/m3,3.524414,"Jun 27, 2016 7:09:22 PM",64.7513,20.95505
57715f211f9b1d04060a3b9a,EnvironmentalSensor_S2,NO2,ppm,0.0236,PM10,ug/m3,5.0927733,PM2.5,ug/m3,2.9423827,"Jun 27, 2016 7:15:13 PM",64.7513,20.95505
577160801f9b1d04060a3b9c,EnvironmentalSensor_S2,NO2,ppm,0.0472,PM10,ug/m3,1.7304687,PM2.5,ug/m3,1.7207031,"Jun 27, 2016 7:21:04 PM",64.7513,20.95505
577161de1f9b1d04060a3b9e,EnvironmentalSensor_S2,NO2,ppm,0.1114,PM10,ug/m3,3.78125,PM2.5,ug/m3,3.618164,"Jun 27, 2016 7:26:54 PM",64.7513,20.95505
577163441f9b1d04060a3ba0,EnvironmentalSensor_S2,NO2,ppm,0.1081,PM10,ug/m3,2.9541015,PM2.5,ug/m3,2.9335937,"Jun 27, 2016 7:32:52 PM",64.7513,20.95505
577164a91f9b1d04060a3ba2,EnvironmentalSensor_S2,NO2,ppm,0.1182,PM10,ug/m3,2.3935546,PM2.5,ug/m3,2.2880858,"Jun 27, 2016 7:38:49 PM",64.7513,20.95505
5771660e1f9b1d04060a3ba4,EnvironmentalSensor_S2,NO2,ppm,0.0439,PM10,ug/m3,3.1367187,PM2.5,ug/m3,3.1220702,"Jun 27, 2016 7:44:46 PM",64.7513,20.95505
577167721f9b1d04060a3ba6,EnvironmentalSensor_S2,NO2,ppm,0.179,PM10,ug/m3,6.2939452,PM2.5,ug/m3,5.4238281,"Jun 27, 2016 7:50:42 PM",64.7513,20.95505
577168d91f9b1d04060a3ba8,EnvironmentalSensor_S2,NO2,ppm,0.0135,PM10,ug/m3,3.3242187,PM2.5,ug/m3,3.2998046,"Jun 27, 2016 7:56:41 PM",64.7513,20.95505
57716a411f9b1d04060a3baa,EnvironmentalSensor_S2,NO2,ppm,0.0506,PM10,ug/m3,1.2910156,PM2.5,ug/m3,1.2714843,"Jun 27, 2016 8:02:41 PM",64.7513,20.95505
57716ba61f9b1d04060a3bac,EnvironmentalSensor_S2,NO2,ppm,0.0641,PM10,ug/m3,3.9892577,PM2.5,ug/m3,3.9580077,"Jun 27, 2016 8:08:38 PM",64.7513,20.95505
57716d051f9b1d04060a3bae,EnvironmentalSensor_S2,NO2,ppm,0.125,PM10,ug/m3,5.0078125,PM2.5,ug/m3,4.921875,"Jun 27, 2016 8:14:29 PM",64.7513,20.95505
57716e6c1f9b1d04060a3bb0,EnvironmentalSensor_S2,NO2,ppm,0.1081,PM10,ug/m3,3.5029296,PM2.5,ug/m3,3.4990233,"Jun 27, 2016 8:20:28 PM",64.7513,20.95505
57716fca1f9b1d04060a3bb2,EnvironmentalSensor_S2,NO2,ppm,0.1925,PM10,ug/m3,2.6777343,PM2.5,ug/m3,2.6630858,"Jun 27, 2016 8:26:18 PM",64.7513,20.95505
5771712b1f9b1d04060a3bb4,EnvironmentalSensor_S2,NO2,ppm,0.1114,PM10,ug/m3,3.3222656,PM2.5,ug/m3,3.2958983,"Jun 27, 2016 8:32:11 PM",64.7513,20.95505
577269381f9b1d04060a3bb8,EnvironmentalSensor_S2,NO2,ppm,NaN,PM10,ug/m3,2262.485352,PM2.5,ug/m3,2251.795898,"Jun 28, 2016 2:10:32 PM",64.7513,20.95505
57726aa01f9b1d04060a3bba,EnvironmentalSensor_S2,NO2,ppm,0.0641,PM10,ug/m3,2611.588867,PM2.5,ug/m3,2596.367188,"Jun 28, 2016 2:16:32 PM",64.7513,20.95505
57726c051f9b1d04060a3bbc,EnvironmentalSensor_S2,NO2,ppm,0.0979,PM10,ug/m3,2728.961914,PM2.5,ug/m3,2713.608398,"Jun 28, 2016 2:22:29 PM",64.7513,20.95505
57726d691f9b1d04060a3bbe,EnvironmentalSensor_S2,NO2,ppm,0.1148,PM10,ug/m3,2779.338867,PM2.5,ug/m3,2758.408203,"Jun 28, 2016 2:28:25 PM",64.7513,20.95505
57726e661f9b1d04060a3bc0,EnvironmentalSensor_S2,NO2,ppm,0.0472,PM10,ug/m3,2966.144531,PM2.5,ug/m3,2938.449219,"Jun 28, 2016 2:32:38 PM",64.7513,20.95505
57726fc31f9b1d04060a3bc2,EnvironmentalSensor_S2,NO2,ppm,0.0945,PM10,ug/m3,3044.844727,PM2.5,ug/m3,2998.53125,"Jun 28, 2016 2:38:27 PM",64.7513,20.95505
577271281f9b1d04060a3bc4,EnvironmentalSensor_S2,NO2,ppm,0.1148,PM10,ug/m3,3087.507813,PM2.5,ug/m3,3019.552734,"Jun 28, 2016 2:44:24 PM",64.7513,20.95505
5772728c1f9b1d04060a3bc6,EnvironmentalSensor_S2,NO2,ppm,0.1283,PM10,ug/m3,3211.210938,PM2.5,ug/m3,3189.506836,"Jun 28, 2016 2:50:20 PM",64.7513,20.95505
577273ef1f9b1d04060a3bc8,EnvironmentalSensor_S2,NO2,ppm,0.1486,PM10,ug/m3,3175.435547,PM2.5,ug/m3,3142.025391,"Jun 28, 2016 2:56:15 PM",64.7513,20.95505
577275541f9b1d04060a3bca,EnvironmentalSensor_S2,NO2,ppm,0.0202,PM10,ug/m3,3221.484375,PM2.5,ug/m3,3198.452148,"Jun 28, 2016 3:02:12 PM",64.7513,20.95505
577276b91f9b1d04060a3bcc,EnvironmentalSensor_S2,NO2,ppm,0.1081,PM10,ug/m3,3216.511719,PM2.5,ug/m3,3193.579102,"Jun 28, 2016 3:08:09 PM",64.7513,20.95505
5772781d1f9b1d04060a3bce,EnvironmentalSensor_S2,NO2,ppm,0.0743,PM10,ug/m3,3251.797852,PM2.5,ug/m3,3229.911133,"Jun 28, 2016 3:14:05 PM",64.7513,20.95505
577279821f9b1d04060a3bd0,EnvironmentalSensor_S2,NO2,ppm,0.179,PM10,ug/m3,3162.958984,PM2.5,ug/m3,3144.404297,"Jun 28, 2016 3:20:02 PM",64.7513,20.95505
57727ae61f9b1d04060a3bd2,EnvironmentalSensor_S2,NO2,ppm,0.1216,PM10,ug/m3,3259.404297,PM2.5,ug/m3,3237.188477,"Jun 28, 2016 3:25:58 PM",64.7513,20.95505
57727c4a1f9b1d04060a3bd4,EnvironmentalSensor_S2,NO2,ppm,0.0101,PM10,ug/m3,3220.678711,PM2.5,ug/m3,3197.615234,"Jun 28, 2016 3:31:54 PM",64.7513,20.95505
57727dae1f9b1d04060a3bd6,EnvironmentalSensor_S2,NO2,ppm,0.0371,PM10,ug/m3,2989.005859,PM2.5,ug/m3,2956.319336,"Jun 28, 2016 3:37:50 PM",64.7513,20.95505
57727f0b1f9b1d04060a3bd8,EnvironmentalSensor_S2,NO2,ppm,0.2094,PM10,ug/m3,2134.338867,PM2.5,ug/m3,2093.710938,"Jun 28, 2016 3:43:39 PM",64.7513,20.95505
577280681f9b1d04060a3bda,EnvironmentalSensor_S2,NO2,ppm,0.1317,PM10,ug/m3,1074.782227,PM2.5,ug/m3,1042.785156,"Jun 28, 2016 3:49:28 PM",64.7513,20.95505
577281cc1f9b1d04060a3bdc,EnvironmentalSensor_S2,NO2,ppm,0.1216,PM10,ug/m3,473.7470702,PM2.5,ug/m3,457.0908202,"Jun 28, 2016 3:55:24 PM",64.7513,20.95505
577283301f9b1d04060a3bde,EnvironmentalSensor_S2,NO2,ppm,0.1114,PM10,ug/m3,167.0683593,PM2.5,ug/m3,160.7607421,"Jun 28, 2016 4:01:20 PM",64.7513,20.95505
577284941f9b1d04060a3be0,EnvironmentalSensor_S2,NO2,ppm,0.125,PM10,ug/m3,73.0683593,PM2.5,ug/m3,70.3183593,"Jun 28, 2016 4:07:16 PM",64.7513,20.95505
577285fe1f9b1d04060a3be2,EnvironmentalSensor_S2,NO2,ppm,0.0979,PM10,ug/m3,60.1308593,PM2.5,ug/m3,57.5673827,"Jun 28, 2016 4:13:18 PM",64.7513,20.95505
5772ed861f9b1d04060a3be4,EnvironmentalSensor_S2,NO2,ppm,NaN,PM10,ug/m3,2019.78418,PM2.5,ug/m3,2011.749023,"Jun 28, 2016 11:35:02 PM",64.7513,20.95505
5772eeef1f9b1d04060a3be6,EnvironmentalSensor_S2,NO2,ppm,0.0641,PM10,ug/m3,751.6318358,PM2.5,ug/m3,751.211914,"Jun 28, 2016 11:41:03 PM",64.7513,20.95505
5772f0541f9b1d04060a3be8,EnvironmentalSensor_S2,NO2,ppm,0.1182,PM10,ug/m3,260.7382812,PM2.5,ug/m3,260.4736327,"Jun 28, 2016 11:47:00 PM",64.7513,20.95505
5772f1b21f9b1d04060a3bea,EnvironmentalSensor_S2,NO2,ppm,0.0979,PM10,ug/m3,38.1708983,PM2.5,ug/m3,38.1669921,"Jun 28, 2016 11:52:50 PM",64.7513,20.95505
5772f3181f9b1d04060a3bec,EnvironmentalSensor_S2,NO2,ppm,0.0912,PM10,ug/m3,6.6699218,PM2.5,ug/m3,6.6611327,"Jun 28, 2016 11:58:48 PM",64.7513,20.95505
5772f47c1f9b1d04060a3bee,EnvironmentalSensor_S2,NO2,ppm,0.179,PM10,ug/m3,2.9677733,PM2.5,ug/m3,2.9482421,"Jun 29, 2016 12:04:44 AM",64.7513,20.95505
5772f5e31f9b1d04060a3bf0,EnvironmentalSensor_S2,NO2,ppm,0.027,PM10,ug/m3,3.0839843,PM2.5,ug/m3,3.0722656,"Jun 29, 2016 12:10:43 AM",64.7513,20.95505
5772f74b1f9b1d04060a3bf2,EnvironmentalSensor_S2,NO2,ppm,0.1182,PM10,ug/m3,1.5458983,PM2.5,ug/m3,1.4501952,"Jun 29, 2016 12:16:43 AM",64.7513,20.95505
5772f8b01f9b1d04060a3bf4,EnvironmentalSensor_S2,NO2,ppm,0.1114,PM10,ug/m3,1.9238281,PM2.5,ug/m3,1.8388671,"Jun 29, 2016 12:22:40 AM",64.7513,20.95505
5772fa151f9b1d04060a3bf6,EnvironmentalSensor_S2,NO2,ppm,0.1047,PM10,ug/m3,2.243164,PM2.5,ug/m3,2.243164,"Jun 29, 2016 12:28:37 AM",64.7513,20.95505
5772fb7b1f9b1d04060a3bf8,EnvironmentalSensor_S2,NO2,ppm,0.0067,PM10,ug/m3,3.0410156,PM2.5,ug/m3,2.9990233,"Jun 29, 2016 12:34:35 AM",64.7513,20.95505
5772fce51f9b1d04060a3bfa,EnvironmentalSensor_S2,NO2,ppm,0.125,PM10,ug/m3,3.515625,PM2.5,ug/m3,3.4404296,"Jun 29, 2016 12:40:37 AM",64.7513,20.95505
5772fe4f1f9b1d04060a3bfc,EnvironmentalSensor_S2,NO2,ppm,0.0844,PM10,ug/m3,4.5800781,PM2.5,ug/m3,4.5371093,"Jun 29, 2016 12:46:39 AM",64.7513,20.95505
5772ffb41f9b1d04060a3bfe,EnvironmentalSensor_S2,NO2,ppm,0.1081,PM10,ug/m3,1.6435546,PM2.5,ug/m3,1.6416015,"Jun 29, 2016 12:52:36 AM",64.7513,20.95505
577301141f9b1d04060a3c00,EnvironmentalSensor_S2,NO2,ppm,0.0675,PM10,ug/m3,4.6064452,PM2.5,ug/m3,4.0751952,"Jun 29, 2016 12:58:28 AM",64.7513,20.95505
